date, Unemployment Rate (%)
31-12-1960,0
31-12-1961,0
31-12-1962,0
31-12-1963,0
31-12-1964,0
31-12-1965,0
31-12-1966,0
31-12-1967,0
31-12-1968,0
31-12-1969,0
31-12-1970,0
31-12-1971,0
31-12-1972,0
31-12-1973,0
31-12-1974,0
31-12-1975,0
31-12-1976,0
31-12-1977,0
31-12-1978,0
31-12-1979,0
31-12-1980,0
31-12-1981,0
31-12-1982,0
31-12-1983,0
31-12-1984,0
31-12-1985,0
31-12-1986,0
31-12-1987,0
31-12-1988,0
31-12-1989,0
31-12-1990,0
31-12-1991,6.838
31-12-1992,6.838
31-12-1993,6.838
31-12-1994,6.83
31-12-1995,6.998
31-12-1996,7.165
31-12-1997,7.339
31-12-1998,7.511
31-12-1999,7.68
31-12-2000,7.85
31-12-2001,8.022
31-12-2002,8.202
31-12-2003,8.368
31-12-2004,8.535
31-12-2005,8.7
31-12-2006,8.618
31-12-2007,8.537
31-12-2008,8.463
31-12-2009,8.383
31-12-2010,8.3
31-12-2011,8.215
31-12-2012,8.138
31-12-2013,8.06
31-12-2014,7.976
31-12-2015,7.891
31-12-2016,7.808
31-12-2017,7.728
31-12-2018,7.65
31-12-2019,6.51
31-12-2020,7.86
31-12-2021,6.38
31-12-2022,4.822
